time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode,ClgPct_outlier,HtgPct_outlier,OutAirTemp_outlier,RmTemp_outlier,SuplFanSpd_outlier
2025-01-28 04:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.2,1.0,1.0,0.0,29.0,44.5,70.0,68.66666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 04:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.5,1.0,1.0,0.0,29.33333333,43.63333333,70.0,67.0,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 04:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,29.33333333,44.76666667,70.0,69.26666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 04:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.333333333,1.0,61.46666667,1.0,1.0,0.0,29.0,44.76666667,70.0,67.2,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 05:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.73333333,1.0,1.0,0.0,29.66666667,44.43333333,70.0,69.23333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 05:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.76666667,1.0,1.0,0.0,29.0,44.43333333,70.0,67.53333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 05:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.33333333,1.0,1.0,0.0,30.66666667,44.7,70.0,68.4,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 05:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.13333333,1.0,1.0,0.0,30.33333333,45.3,70.0,68.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 06:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.83333333,1.0,1.0,0.0,31.0,44.36666667,70.0,67.53333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 06:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,32.0,45.26666667,70.0,68.86666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
